Course,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Gender,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,Target
2,1,13,10,6,10,1,20,0,0,0,0,0,0,0,0,0,1.74,Need Additional Support
11,1,1,3,4,4,1,19,6,6,6,14,0,6,6,6,13.66666667,0.79,Graduate
5,1,22,27,10,10,1,19,6,0,0,0,0,6,0,0,0,1.74,Need Additional Support
15,1,23,27,6,4,0,20,6,8,6,13.42857143,0,6,10,5,12.4,-3.12,Graduate
3,1,22,28,10,10,0,45,6,9,5,12.33333333,0,6,6,6,13,0.79,Graduate
17,12,22,27,10,8,1,50,5,10,5,11.85714286,0,5,17,5,11.5,-0.92,Graduate
12,1,13,28,8,11,0,18,7,9,7,13.3,0,8,8,8,14.345,-4.06,Graduate
11,1,22,27,10,10,1,22,5,5,0,0,0,5,5,0,0,-4.06,Need Additional Support
10,1,1,1,10,10,0,21,6,8,6,13.875,0,6,7,6,14.14285714,-0.92,Graduate
10,1,1,14,5,8,0,18,6,9,5,11.4,0,6,14,2,13.5,3.51,Need Additional Support
14,1,23,14,6,8,0,18,6,6,6,12.33333333,0,6,7,5,14.2,0.79,Graduate
12,1,13,28,10,10,0,18,8,8,7,13.21428571,0,8,8,7,13.21428571,-1.7,Graduate
16,1,13,27,5,10,0,19,6,6,0,0,0,6,0,0,0,-1.7,Need Additional Support
11,16,1,1,5,8,0,21,6,7,6,10.57142857,0,6,8,5,11,3.51,Graduate
6,1,23,27,6,6,0,18,5,7,4,13.25,0,5,5,5,12,1.74,Graduate
15,1,13,27,10,4,0,20,6,6,5,13.2,0,6,7,0,0,-4.06,Need Additional Support
10,1,13,28,6,9,0,18,6,10,1,12,0,6,14,2,11,1.74,Enrolled
12,1,13,1,6,5,0,18,7,8,7,13.30625,0,8,8,8,14.545,-4.06,Graduate
8,1,3,14,4,6,0,20,5,8,4,12.5,0,5,8,4,12.25,1.74,Graduate
16,1,13,14,8,8,0,18,7,7,6,11.66666667,0,7,8,6,13.5,-0.92,Enrolled
2,1,1,1,10,9,0,21,0,0,0,0,0,0,0,0,0,2.02,Graduate
13,1,1,28,5,8,0,20,7,14,7,11.4375,0,8,9,8,11.425,-1.7,Enrolled
12,1,13,14,2,2,0,18,8,12,7,12.85714286,0,8,12,7,12.85714286,-1.7,Graduate
14,1,1,28,5,8,0,19,6,8,6,13.375,0,6,7,6,12.28571429,2.02,Graduate
12,1,13,14,4,8,0,19,7,8,6,13.29666667,0,8,9,7,14.11428571,2.02,Graduate
10,1,13,28,10,10,0,18,6,8,5,11.6,0,6,12,4,11,0.32,Enrolled
